parameter,cumulative_return,annual_return,max_drawdown,drawdown_begin,drawdown_end,return/drawdown,sharpe_ratio,base_return
"[10, 80]",87.89,144.79%,-67.50%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.14,1.4368070576464478,74.58970481782359
"[10, 50]",87.11,144.35%,-67.63%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.13,1.473104720599271,74.58970481782359
"[70, 90]",75.7,137.59%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.12,1.3294216511444557,74.58970481782359
"[60, 120]",85.54,143.46%,-68.25%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.1,1.358006405213894,74.58970481782359
"[70, 110]",83.75,142.44%,-68.21%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.09,1.3544224969864176,74.58970481782359
"[110, 120]",72.62,135.62%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.09,1.3073312302403262,74.58970481782359
"[90, 130]",72.45,135.51%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.09,1.3166374960434932,74.58970481782359
"[20, 40]",69.64,133.65%,-63.87%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.09,1.417869797059817,74.58970481782359
"[30, 100]",84.27,142.73%,-68.32%,2017-12-16 00:00:00,2018-05-23 00:00:00,2.09,1.3804455974781311,74.58970481782359
"[20, 90]",78.57,139.36%,-66.78%,2017-12-16 00:00:00,2018-08-11 00:00:00,2.09,1.3679672455196068,74.58970481782359
"[40, 140]",75.44,137.42%,-66.15%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.08,1.3297929335845942,74.58970481782359
"[70, 100]",70.38,134.15%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.07,1.3146464311972095,74.58970481782359
"[70, 120]",82.36,141.63%,-68.63%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.06,1.3496186436150008,74.58970481782359
"[100, 180]",73.55,136.22%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,2.06,1.3245966090087014,74.58970481782359
"[50, 140]",80.02,140.24%,-67.92%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.06,1.3416513561497425,74.58970481782359
"[50, 130]",78.57,139.36%,-67.74%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.06,1.3378972200162629,74.58970481782359
"[10, 100]",81.78,141.29%,-68.75%,2017-12-16 00:00:00,2019-03-05 00:00:00,2.05,1.3801451486834342,74.58970481782359
"[90, 120]",72.56,135.58%,-66.28%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.05,1.3144324536927774,74.58970481782359
"[120, 170]",72.23,135.37%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,2.05,1.3294473600484011,74.58970481782359
"[90, 190]",70.63,134.32%,-66.13%,2017-12-16 00:00:00,2018-04-06 00:00:00,2.03,1.3184505063022223,74.58970481782359
"[90, 170]",67.12,131.94%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.03,1.2824833891259497,74.58970481782359
"[10, 190]",67.38,132.12%,-64.94%,2017-12-16 00:00:00,2019-04-12 00:00:00,2.03,1.3314349544244808,74.58970481782359
"[60, 130]",80.48,140.51%,-69.13%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.03,1.3421383301319965,74.58970481782359
"[50, 110]",74.07,136.55%,-67.26%,2019-06-27 00:00:00,2020-03-13 00:00:00,2.03,1.3265892141561617,74.58970481782359
"[90, 140]",66.76,131.69%,-64.93%,2017-12-16 00:00:00,2018-02-05 00:00:00,2.03,1.2935054941455557,74.58970481782359
